ft_name,n_seq_real,n_seq_shuf,odds_ratio,p_value,fdr
BPC1,15949,8707,4.75465798226391,0,0
BPC5,3738,24,190.251795066155,0,0
BPC6,14462,8398,3.45482013979688,0,0
EWSR1-FLI1,11399,3565,5.95316469981898,0,0
Nr2F6,13414,9311,2.27621752657107,0,0
Rarg,13284,10870,1.63152359731693,2.30207171335982e-130,7.25536268327238e-128
NFKB1,13250,11521,1.42476241619215,1.18063123547476e-68,3.18939095183252e-66
RLM1,19450,18552,1.95535588461659,1.24571291302027e-66,2.94455389815166e-64
ESR1,12589,11217,1.31722710307235,3.23155172815782e-43,6.7898492421627e-41
Rarb,13109,12243,1.19638527121188,6.86596898126056e-19,1.29835473435637e-16
blmp-1,20456,20346,4.46109656833172,4.19223059865631e-18,7.2068255109628e-16
SPT15,20229,20034,1.76992106179295,8.26549264661201e-14,1.30250388289528e-11
REST,18918,18520,1.28042886255104,1.38190706099654e-12,2.01014327103419e-10
MEF2D,16873,16327,1.18952186324814,3.24573471296901e-12,4.38406024444599e-10
FKH1,20258,20088,1.75381273281793,4.37370630658275e-12,5.51378575049865e-10
pha-4,20232,20056,1.70227516283863,6.69949199482572e-12,7.91796210138465e-10
STAT1::STAT2,20415,20309,2.46492321428736,8.22664014044211e-12,9.1509273562212e-10
Stat5a::Stat5b,20407,20298,2.35835074216282,1.26030720663449e-11,1.32402273763656e-09
STAT1,20357,20227,2.00512652942617,1.96897263941914e-11,1.95964592691663e-09
Lhx3,20345,20219,1.8928007968787,2.23198469844814e-10,2.11034153238272e-08
STB3,20375,20261,2.02010715113994,2.63451001096413e-10,2.37231353844437e-08
skn-1,20387,20281,2.06017012459149,6.63161926060543e-10,5.70017819172949e-08
STAT3,20449,20377,2.85628934297952,1.58821935895447e-09,1.305792525123e-07
DUX4,19577,19331,1.28618282996951,1.55758190316275e-08,1.22724474120032e-06
Stat6,20281,20153,1.62860668159536,1.73383136851632e-08,1.31147004714575e-06
ELK4,20349,20242,1.77910318805573,2.35974499147005e-08,1.67962736672525e-06
MEF2C,20409,20324,2.08458409540714,2.39819877850777e-08,1.67962736672525e-06
JUN,19600,19366,1.27876892136259,4.77931822214595e-08,3.22774669931357e-06
PLAG1,20270,20147,1.573742961419,9.16385502852637e-08,5.97546546860116e-06
Stat4,20412,20341,1.9409196934728,1.07718322426179e-06,6.7898449235968e-05
eor-1,20479,20452,4.00488108556273,3.25866056782084e-05,0.00198778294637071
IXR1,17163,16883,1.10218867141689,0.000117913440433426,0.00696794737061277
TCF7L2,20443,20401,1.93727170273115,0.000158060205068892,0.0090573287207659
HES7,13000,12652,1.0752527477266,0.000197866290924035,0.0110048575334514
RREB1,20352,20287,1.48265454252168,0.000223685112545953,0.012085387080697
Zfx,20316,20247,1.4059198985753,0.000375873870863605,0.0197438191611966
FOXH1,19703,19575,1.17065664670986,0.000818599797076748,0.0418370869262738
